Model_Group,(All),,,,,,,,,
,,,,,,,,,,
Sum of PV_Capex,Column Labels,,,,,,,,,
Row Labels,2020,2030,2040,2050,2060,2070,2080,2090,2100,Grand Total
2.5C,2235.706781,1703.434676,1550.823459,1373.826651,1440.081037,1519.977438,1536.029446,1542.49605,1540.111058,14442.4866
AIM/Hub-Global 2.0,2235.706781,1703.434676,1550.823459,1373.826651,1440.081037,1519.977438,1536.029446,1542.49605,1540.111058,14442.4866
2C,2235.706781,1747.6002,1590.523599,1397.980253,1461.314666,1532.995734,1541.266262,1543.718143,1540.148845,14591.25448
AIM/Hub-Global 2.0,2235.706781,1747.6002,1590.523599,1397.980253,1461.314666,1532.995734,1541.266262,1543.718143,1540.148845,14591.25448
Baseline,2264.519293,1744.550103,1532.05391,1312.540288,1326.632419,1323.211205,1313.571858,1309.723542,1297.385654,13424.18827
AIM/Hub-Global 2.0,2264.519293,1744.550103,1532.05391,1312.540288,1326.632419,1323.211205,1313.571858,1309.723542,1297.385654,13424.18827
BEG-Base,1067.1874,759.3824,607.9247,528.274,474.097,443.6909,416.1254,396.2118,380.4713,5073.3649
REMIND-Buildings 2.0,1067.1874,759.3824,607.9247,528.274,474.097,443.6909,416.1254,396.2118,380.4713,5073.3649
BEG-Budg600,1067.1874,601.5402,483.8193,442.5165,410.4131,390.7097,374.4007,362.3873,351.3791,4484.3533
REMIND-Buildings 2.0,1067.1874,601.5402,483.8193,442.5165,410.4131,390.7097,374.4007,362.3873,351.3791,4484.3533
BEG-Budg600-EG,1067.1874,570.279,479.1096,450.507,417.3217,396.9116,379.4568,366.612,355.0769,4482.462
REMIND-Buildings 2.0,1067.1874,570.279,479.1096,450.507,417.3217,396.9116,379.4568,366.612,355.0769,4482.462
BEG-EG,1067.1874,804.3849,648.2214,557.7536,495.151,461.1036,430.1745,408.4107,391.1826,5263.5697
REMIND-Buildings 2.0,1067.1874,804.3849,648.2214,557.7536,495.151,461.1036,430.1745,408.4107,391.1826,5263.5697
CD-LINKS_INDC2030i_1000,1277.5069,864.6446,631.3737,538.1651,494.0897,473.1442,454.0054,440.7048,431.2957,5604.9301
REMIND-MAgPIE 1.7-3.0,1277.5069,864.6446,631.3737,538.1651,494.0897,473.1442,454.0054,440.7048,431.2957,5604.9301
CD-LINKS_INDC2030i_1600,1277.5069,864.6446,640.5083,545.8576,498.9381,476.3724,455.3811,440.3758,429.1692,5628.754
REMIND-MAgPIE 1.7-3.0,1277.5069,864.6446,640.5083,545.8576,498.9381,476.3724,455.3811,440.3758,429.1692,5628.754
CD-LINKS_INDC2030i_400,1277.5069,864.6446,621.6456,530.5213,488.2082,468.1315,449.6451,436.5407,427.0553,5563.8992
REMIND-MAgPIE 1.7-3.0,1277.5069,864.6446,621.6456,530.5213,488.2082,468.1315,449.6451,436.5407,427.0553,5563.8992
CD-LINKS_INDCi,1277.5069,864.6446,677.0313,583.2922,525.4032,497.5044,473.3451,456.225,443.3046,5798.2573
REMIND-MAgPIE 1.7-3.0,1277.5069,864.6446,677.0313,583.2922,525.4032,497.5044,473.3451,456.225,443.3046,5798.2573
CD-LINKS_NoPolicy,1337.5474,968.8353,733.2834,611.2619,539.8734,507.3272,480.2132,461.378,447.4449,6087.1647
REMIND-MAgPIE 1.7-3.0,1337.5474,968.8353,733.2834,611.2619,539.8734,507.3272,480.2132,461.378,447.4449,6087.1647
CD-LINKS_NPi,1277.5069,910.2835,713.107,604.679,537.8317,506.5314,479.8413,461.0151,446.9988,5937.7947
REMIND-MAgPIE 1.7-3.0,1277.5069,910.2835,713.107,604.679,537.8317,506.5314,479.8413,461.0151,446.9988,5937.7947
CD-LINKS_NPi2020_1000,1277.5069,765.4203,594.9426,530.9421,491.5623,469.8713,450.3955,436.4776,425.8191,5442.9377
REMIND-MAgPIE 1.7-3.0,1277.5069,765.4203,594.9426,530.9421,491.5623,469.8713,450.3955,436.4776,425.8191,5442.9377
CD-LINKS_NPi2020_1600,1277.5069,784.9108,607.0781,538.2368,497.1742,475.3611,456.1495,443.0917,433.3586,5512.8677
REMIND-MAgPIE 1.7-3.0,1277.5069,784.9108,607.0781,538.2368,497.1742,475.3611,456.1495,443.0917,433.3586,5512.8677
CD-LINKS_NPi2020_400,1277.5069,748.9513,592.7759,538.7261,503.1281,481.1579,460.7647,446.1064,434.8654,5483.9827
REMIND-MAgPIE 1.7-3.0,1277.5069,748.9513,592.7759,538.7261,503.1281,481.1579,460.7647,446.1064,434.8654,5483.9827
CEMICS_GDPgrowth_1p5,958.9597,465.2516,365.2237,328.5254,288.4404,264.3455,244.4765,229.7266,217.3983,3362.3477
